artist,ontour,listeners,playcount
Lara George,0,2902,44117
Nomo,0,56325,523703
A Mose,0,1497,11161
Assagai,0,8300,46507
Voilaaa,0,42507,290783
Voilaaa,0,42507,290783
The Funkees,0,83186,503833
Ebo Taylor,1,173304,1486113
Buena Onda Reggae Club,0,1860,10951
The Daktaris,0,59765,346107
Brownout,0,56090,482707
Lack Of Afro,0,125053,1502014
Jor'dan Armstrong,0,8281,74622
Bola Johnson,0,29050,113634
Fela Kuti,0,442038,6557226
Azarel,0,347,1491
Edem Evangelist,0,521,3955
Nkumba System,0,554,1851
Chico Mann,0,32545,192940
Tony Allen,0,275486,2390614
cacique'97,0,3755,22009
Joshua Ali,0,800,2763
São Paulo Ska Jazz,0,4933,37361
Dele Ojo,0,190,665
The Polyversal Souls,0,12346,52682
A Mose,0,1497,11161
Tony Allen,0,275486,2390614
Juanafé,0,19053,144210
The Bamboos,0,278861,2810911
Monophonics,1,182521,1799735
Gil Joe,0,1488,15024
Kutiman,0,118007,1074776
Greyboy,0,113638,827946
El Rego,0,22726,113343
Lack Of Afro,0,125053,1502014
Lack Of Afro,0,125053,1502014
Niña Dioz,0,15125,98284
Gilles Peterson's Havana Cultura Band,0,21935,144914
Speedometer,0,93922,854708
BaianaSystem,0,139167,5987526
Meridian Brothers,1,60517,785176
The Neighbourhood,0,3267571,289140235
MGMT,0,4570021,172728227
Sam Tinnesz,0,377163,4325055
Nirvana,0,6524523,446944938
KALEO,1,1016453,16881447
The Score,0,529236,13130147
grandson,0,689187,19987571
WALK THE MOON,0,1631092,26607602
Red Hot Chili Peppers,0,6375041,446412162
The Killers,1,6115614,300678221
The Killers,1,6115614,300678221
Nickelback,1,3774972,115477988
Weezer,1,4663391,225021554
The Killers,1,6115614,300678221
Deftones,1,3451209,391274279
The Killers,1,6115614,300678221
The Killers,1,6115614,300678221
Weezer,1,4663391,225021554
Julieta Venegas,0,684119,15738886
The Offspring,1,4029593,176031559
The Neighbourhood,0,3267571,289140235
The 1975,1,2267542,238032197
Radiohead,0,7087866,1008745542
Hoobastank,1,2487168,38767840
The White Stripes,0,4325302,165612669
Thousand Foot Krutch,0,1041526,32032872
Dominic Fike,0,1879984,103897841
R.E.M.,0,3936482,132645280
Zoé,1,389869,19921525
Skillet,1,1854917,64339663
The Smashing Pumpkins,0,4232651,228861543
Los Enanitos Verdes,0,280657,6303181
Korn,1,3666706,232749814
Fitz and The Tantrums,0,1590823,22915060
Ashes Remain,0,172099,3109838
3 Doors Down,1,3163224,72931018
X Ambassadors,1,1000608,14743550
Counting Crows,1,2681548,47693679
Andrés Calamaro,1,406859,14071274
Andrés Calamaro,1,406859,14071274
Counting Crows,1,2681548,47693679
Megadeth,1,2029351,152018413
Volbeat,1,887389,48947399
Andrés Calamaro,1,406859,14071274
Andrés Calamaro,1,406859,14071274
The Black Keys,1,3019264,170924708
Andrés Calamaro,1,406859,14071274
Queens of the Stone Age,1,3322236,209931708
Andrés Calamaro,1,406859,14071274
Andrés Calamaro,1,406859,14071274
Bea Miller,0,943076,17785457
Hillsong UNITED,0,410533,17731647
X Ambassadors,1,1000608,14743550
Yeah Yeah Yeahs,1,3551111,111681964
Duman,0,171814,8956847
Marilyn Manson,1,2842771,158622670
Blur,0,4199798,157048592
Yeah Yeah Yeahs,1,3551111,111681964
Babasónicos,1,296194,16104143
Grouplove,1,1960949,33847517
Shinsei Kamattechan,0,312687,6838590
Neon Trees,1,1763796,27358991
The Seige,0,96293,1395508
